City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hermanus,ZA,76.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
9,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
15,Hithadhoo,MV,81.93,broken clouds,-0.6,73.0833,Scoop Guest House
16,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
19,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
21,Faanui,PF,79.74,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Rikitea,PF,78.93,light rain,-23.1203,-134.9692,People ThankYou
27,Grand Gaube,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
28,Aswan,EG,75.63,clear sky,24.0934,32.907,Nuba Nile
30,East London,ZA,83.34,few clouds,-33.0153,27.9116,Tu Casa
35,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
37,La Paz Centro,NI,86.02,clear sky,12.34,-86.6753,Quinta Momotombo
41,Nueva Italia,PY,85.23,few clouds,-25.6167,-57.5,Quinta Che Jazmín
45,Rawson,AR,76.75,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
59,Chuy,UY,75.52,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
66,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
72,Mogadishu,SO,78.42,broken clouds,2.0371,45.3438,Hotel Juba
76,Souillac,MU,80.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
80,Inhambane,MZ,81.25,scattered clouds,-23.865,35.3833,Oceano
82,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
87,Sao Filipe,CV,80.69,overcast clouds,14.8961,-24.4956,Hotel Xaguate
93,Isla Mujeres,MX,80.65,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
104,Kruisfontein,ZA,80.17,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
105,Hobyo,SO,78.21,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
106,Cidreira,BR,78.98,clear sky,-30.1811,-50.2056,Hotel Castelo
116,Kantunilkin,MX,80.44,broken clouds,21.0917,-87.45,Posada Paraiso
117,Mahebourg,MU,80.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
119,Calvinia,ZA,78.62,broken clouds,-31.4707,19.776,Die Lemoenhuis
124,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
126,Castro,BR,76.06,clear sky,-24.7911,-50.0119,CHACARA BAILLY
130,Port Alfred,ZA,80.51,clear sky,-33.5906,26.891,The Halyards Hotel
