City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,57.31,47,40,36.82,scattered clouds
1,Hermanus,ZA,-34.4187,19.2345,76.89,79,94,10.13,overcast clouds
2,Dawlatabad,AF,36.4141,64.9053,46.31,61,100,8.68,overcast clouds
3,Novikovo,RU,51.1537,37.8879,27.45,95,84,8.52,broken clouds
4,Esperance,AU,-33.8667,121.9,65.1,73,99,14.99,overcast clouds
5,Kahului,US,20.8947,-156.47,72.84,83,0,7.0,clear sky
6,Thompson,CA,55.7435,-97.8558,-12.3,95,100,6.04,overcast clouds
7,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,66,96,11.21,overcast clouds
8,Upernavik,GL,72.7868,-56.1549,-4.68,98,100,13.62,light snow
9,Tiarei,PF,-17.5333,-149.3333,75.22,76,99,12.21,light rain
10,Mumbwa,ZM,-14.9783,27.0619,73.67,81,95,3.78,light rain
11,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,78,100,11.21,overcast clouds
12,Bluff,NZ,-46.6,168.3333,51.8,65,81,15.1,broken clouds
13,Polonnaruwa,LK,7.9333,81.0,74.08,96,100,4.03,overcast clouds
14,Alice Springs,AU,-23.7,133.8833,63.95,68,0,0.0,clear sky
15,Hithadhoo,MV,-0.6,73.0833,81.93,66,76,8.75,broken clouds
16,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,78,40,12.66,scattered clouds
17,Albany,US,42.6001,-73.9662,48.4,62,100,8.99,overcast clouds
18,Ushibuka,JP,32.1906,130.0228,51.28,83,100,6.89,overcast clouds
19,Georgetown,MY,5.4112,100.3354,83.89,74,20,1.99,few clouds
20,Norman Wells,CA,65.282,-126.8329,-14.76,70,40,6.91,scattered clouds
21,Faanui,PF,-16.4833,-151.75,79.74,76,71,13.49,light rain
22,New Norfolk,AU,-42.7826,147.0587,56.7,55,90,2.62,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,49.62,61,75,40.29,light intensity drizzle
24,Rikitea,PF,-23.1203,-134.9692,78.93,70,63,13.98,light rain
25,Clyde River,CA,70.4692,-68.5914,-16.37,69,100,23.02,light snow
26,San Patricio,US,28.017,-97.5169,62.91,82,0,12.17,clear sky
27,Grand Gaube,MU,-20.0064,57.6608,81.0,71,75,3.0,broken clouds
28,Aswan,EG,24.0934,32.907,75.63,20,0,18.79,clear sky
