City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kitale,KE,2022-02-11 16:54:35,1.0157,35.0062,64.67,45,82,2.01
1,Busselton,AU,2022-02-11 16:54:36,-33.65,115.3333,63.09,89,23,4.5
2,Vila Velha,BR,2022-02-11 16:54:36,-20.3297,-40.2925,76.95,91,75,12.66
3,Bluff,NZ,2022-02-11 16:54:37,-46.6,168.3333,51.8,78,49,13.15
4,Marzuq,YE,2022-02-11 16:54:37,14.4,46.4667,62.85,68,1,7.07
5,Thompson,CA,2022-02-11 16:49:56,55.7435,-97.8558,-29.04,62,0,5.75
6,Punta Arenas,CL,2022-02-11 16:54:38,-53.15,-70.9167,57.22,67,75,23.02
7,Hithadhoo,MV,2022-02-11 16:54:38,-0.6,73.0833,81.77,69,100,8.7
8,Morondava,MG,2022-02-11 16:54:39,-20.2833,44.2833,82.29,81,6,10.47
9,San Quintin,MX,2022-02-11 16:54:39,30.4833,-115.95,69.21,28,0,1.3
10,Kruisfontein,ZA,2022-02-11 16:54:40,-34.0033,24.7314,69.03,64,0,6.24
11,Dikson,RU,2022-02-11 16:54:40,73.5069,80.5464,5.02,90,100,26.64
12,Saint-Philippe,RE,2022-02-11 16:54:40,-21.3585,55.7679,78.39,79,36,7.92
13,Palmer,US,2022-02-11 16:54:41,42.1584,-72.3287,52.32,41,75,10.36
14,Leningradskiy,RU,2022-02-11 16:54:41,69.3833,178.4167,-17.5,97,100,4.45
15,Port Alfred,ZA,2022-02-11 16:54:12,-33.5906,26.891,71.82,77,2,5.44
16,Pevek,RU,2022-02-11 16:54:42,69.7008,170.3133,-24.14,98,100,6.44
17,Bad Aibling,DE,2022-02-11 16:54:42,47.8638,12.0106,40.44,78,91,5.48
18,Cape Town,ZA,2022-02-11 16:54:43,-33.9258,18.4232,75.11,62,0,18.41
19,Lavrentiya,RU,2022-02-11 16:54:43,65.5833,-171.0,-26.16,95,62,6.73
20,Abha,SA,2022-02-11 16:54:43,18.2164,42.5053,58.82,82,0,6.91
21,Severo-Kurilsk,RU,2022-02-11 16:54:44,50.6789,156.125,23.02,85,96,4.32
22,Ponta Do Sol,PT,2022-02-11 16:54:44,32.6667,-17.1,68.72,81,1,0.65
23,Mandan,US,2022-02-11 16:54:45,46.8267,-100.8896,10.04,73,0,25.32
24,Makakilo City,US,2022-02-11 16:54:45,21.3469,-158.0858,68.29,87,0,0.0
25,Mataura,NZ,2022-02-11 16:54:45,-46.1927,168.8643,51.48,81,100,3.53
26,Namatanai,PG,2022-02-11 16:54:46,-3.6667,152.4333,78.39,81,100,2.1
27,Shagonar,RU,2022-02-11 16:54:46,51.5333,92.8,-22.72,97,77,0.49
28,Wajir,KE,2022-02-11 16:54:47,1.7471,40.0573,94.96,29,0,0.0
29,Fortuna,US,2022-02-11 16:54:47,40.5982,-124.1573,51.33,81,0,11.5
30,Okhotsk,RU,2022-02-11 16:54:47,59.3833,143.3,-9.49,89,99,8.46
31,Arraial Do Cabo,BR,2022-02-11 16:50:19,-22.9661,-42.0278,76.96,88,75,9.22
32,Aranos,NA,2022-02-11 16:54:48,-24.1333,19.1167,85.35,33,84,8.99
33,Albany,US,2022-02-11 16:54:48,42.6001,-73.9662,47.8,51,46,4.0
34,Junnar,IN,2022-02-11 16:54:49,19.2,73.8833,68.41,29,10,4.94
35,Avarua,CK,2022-02-11 16:54:49,-21.2078,-159.775,73.45,94,23,1.14
36,Hermanus,ZA,2022-02-11 16:54:50,-34.4187,19.2345,73.8,80,8,6.2
37,Luangwa,ZM,2022-02-11 16:54:50,-15.6167,30.4167,74.71,88,95,2.33
38,Honefoss,NO,2022-02-11 16:54:50,60.168,10.2565,32.61,94,62,2.98
39,Luau,AO,2022-02-11 16:54:51,-10.7073,22.2247,67.08,96,100,3.04
40,Georgetown,MY,2022-02-11 16:54:32,5.4112,100.3354,80.89,82,20,1.14
41,Kaseda,JP,2022-02-11 16:54:51,31.4167,130.3167,46.85,70,71,9.28
42,Bredasdorp,ZA,2022-02-11 16:54:52,-34.5322,20.0403,73.27,67,0,9.48
43,Rikitea,PF,2022-02-11 16:54:52,-23.1203,-134.9692,79.16,72,2,17.87
44,Beaverlodge,CA,2022-02-11 16:54:52,55.2166,-119.4361,22.35,58,74,8.12
45,Tiksi,RU,2022-02-11 16:54:53,71.6872,128.8694,-11.33,93,97,14.63
46,Kapaa,US,2022-02-11 16:54:53,22.0752,-159.319,69.87,68,0,1.86
47,East London,ZA,2022-02-11 16:54:53,-33.0153,27.9116,76.14,78,20,6.91
48,Bengkulu,ID,2022-02-11 16:55:54,-3.8004,102.2655,74.86,89,88,4.45
49,Port Elizabeth,ZA,2022-02-11 16:55:54,-33.918,25.5701,73.69,64,0,8.05
50,Kavieng,PG,2022-02-11 16:55:55,-2.5744,150.7967,80.76,79,98,6.69
51,Clyde,US,2022-02-11 16:55:55,41.3042,-82.9752,46.38,69,100,20.67
52,Kismayo,SO,2022-02-11 16:55:55,-0.3582,42.5454,77.65,80,66,17.49
53,Butaritari,KI,2022-02-11 16:55:56,3.0707,172.7902,80.78,81,68,16.69
54,Yellowknife,CA,2022-02-11 16:55:56,62.456,-114.3525,-19.59,89,20,2.3
55,Bull Savanna,JM,2022-02-11 16:55:57,17.8868,-77.5902,81.0,62,10,10.89
56,Kodiak,US,2022-02-11 16:55:57,57.79,-152.4072,36.91,93,100,5.75
57,Poya,NC,2022-02-11 16:55:58,-21.35,165.15,77.18,90,100,5.77
58,Valparaiso,CL,2022-02-11 16:54:47,-33.0393,-71.6273,73.04,61,0,13.8
59,Ancud,CL,2022-02-11 16:55:58,-41.8697,-73.8203,66.22,53,0,5.86
60,Dabakala,CI,2022-02-11 16:55:59,8.3667,-4.4333,98.17,8,10,3.11
61,Altay,CN,2022-02-11 16:55:59,47.8667,88.1167,-0.53,72,9,8.39
62,Puerto Ayora,EC,2022-02-11 16:56:00,-0.7393,-90.3518,80.56,85,48,5.99
63,Vao,NC,2022-02-11 16:56:00,-22.6667,167.4833,80.58,84,100,20.13
64,Racine,US,2022-02-11 16:51:10,42.7495,-88.0751,41.43,82,100,10.36
65,Dingle,PH,2022-02-11 16:56:01,10.9995,122.6711,75.04,91,100,7.02
66,Hualmay,PE,2022-02-11 16:56:01,-11.0964,-77.6139,75.51,69,62,11.41
67,Ushuaia,AR,2022-02-11 16:55:39,-54.8,-68.3,55.06,62,40,20.71
68,Victoria,HK,2022-02-11 16:53:03,22.2855,114.1577,67.17,86,58,4.0
69,Dinguiraye,GN,2022-02-11 16:56:02,11.3,-10.7167,92.89,7,2,7.7
70,Saskylakh,RU,2022-02-11 16:56:03,71.9167,114.0833,2.19,90,99,13.33
71,Chokurdakh,RU,2022-02-11 16:56:03,70.6333,147.9167,-6.2,97,100,11.95
72,Chuy,UY,2022-02-11 16:56:03,-33.6971,-53.4616,83.55,56,5,12.64
73,Namibe,AO,2022-02-11 16:56:04,-15.1961,12.1522,77.41,78,60,10.07
74,Esik,KZ,2022-02-11 16:56:04,43.3552,77.4525,22.42,71,99,4.65
75,Lima,PE,2022-02-11 16:52:27,-12.0432,-77.0282,73.65,69,0,4.61
76,Hilo,US,2022-02-11 16:56:05,19.7297,-155.09,66.11,91,23,4.0
77,Artyom,AZ,2022-02-11 16:56:05,40.4723,50.333,42.94,71,11,4.12
78,Carutapera,BR,2022-02-11 16:53:16,-1.195,-46.02,85.53,60,42,7.11
79,Barmer,IN,2022-02-11 16:56:06,25.75,71.3833,65.32,22,0,5.26
80,Coquimbo,CL,2022-02-11 16:56:07,-29.9533,-71.3436,71.33,64,20,13.8
81,Lorengau,PG,2022-02-11 16:56:07,-2.0226,147.2712,79.54,82,100,5.7
82,Pimentel,PE,2022-02-11 16:56:08,-6.8367,-79.9342,80.89,50,0,13.8
83,Kavaratti,IN,2022-02-11 16:56:08,10.5669,72.642,80.83,73,28,7.96
84,Surt,LY,2022-02-11 16:55:06,31.2089,16.5887,58.08,62,98,6.24
85,Atuona,PF,2022-02-11 16:56:09,-9.8,-139.0333,77.22,78,20,14.47
86,Kupang,ID,2022-02-11 16:56:09,-10.1667,123.5833,77.31,87,100,2.48
87,San Juan,AR,2022-02-11 16:55:42,-31.5375,-68.5364,70.43,62,90,19.6
88,Tasiilaq,GL,2022-02-11 16:56:10,65.6145,-37.6368,10.74,59,100,4.38
89,Cidreira,BR,2022-02-11 16:56:11,-30.1811,-50.2056,79.09,72,0,14.85
90,Narsaq,GL,2022-02-11 16:56:11,60.9167,-46.05,23.92,68,100,5.61
91,Yelizovo,RU,2022-02-11 16:57:11,53.1873,158.3805,3.34,77,0,11.18
92,Jamestown,US,2022-02-11 16:53:51,42.097,-79.2353,47.08,56,75,17.27
93,Suda,RU,2022-02-11 16:57:12,59.1525,37.5582,32.11,93,100,7.87
94,Hobart,AU,2022-02-11 16:57:12,-42.8794,147.3294,51.06,75,10,10.36
95,Hasaki,JP,2022-02-11 16:57:13,35.7333,140.8333,32.4,57,11,15.48
96,Katsuura,JP,2022-02-11 16:57:13,35.1333,140.3,40.19,69,13,13.44
97,Kandrian,PG,2022-02-11 16:57:14,-6.2167,149.55,76.73,88,99,4.47
98,Puerto Madryn,AR,2022-02-11 16:57:14,-42.7692,-65.0385,71.11,22,1,2.24
99,Darhan,MN,2022-02-11 16:57:15,49.4867,105.9228,-18.58,99,23,2.21
100,Taoudenni,ML,2022-02-11 16:57:15,22.6783,-3.9836,75.74,14,0,14.27
101,Provideniya,RU,2022-02-11 16:57:15,64.3833,-173.3,-17.64,94,14,9.1
102,Cabedelo,BR,2022-02-11 16:57:16,-6.9811,-34.8339,88.47,62,51,11.27
103,Tahe,CN,2022-02-11 16:57:16,52.3333,124.7333,-15.23,97,89,3.6
104,Vaini,TO,2022-02-11 16:57:16,-21.2,-175.2,78.96,94,20,4.61
